Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 19:33:58,STARLINK-11441 [DTC],2.31,49.15,465.5,12252.7,304229.1,352144.3
2025-07-31 19:33:58,STARLINK-30999,38.51,77.73,487.0,64425.4,80974.3,475891.4
2025-07-31 19:33:58,STARLINK-32953,156.56,76.44,498.0,46461.5,-107170.3,484126.4
2025-07-31 19:33:58,STARLINK-31413,303.62,63.48,537.4,-199783.2,132824.1,480841.7
2025-07-31 19:33:58,STARLINK-33639,6.41,63.01,539.0,27287.8,243056.7,480314.9
2025-07-31 19:33:58,STARLINK-30607,74.71,56.73,562.2,297540.5,81367.7,470045.5
2025-07-31 19:33:58,STARLINK-5909,67.38,76.97,591.1,123075.2,51269.4,575913.2
2025-07-31 19:33:58,STARLINK-30215,286.28,69.75,594.6,-197569.9,57708.7,557860.5
2025-07-31 19:33:58,STARLINK-33646,13.1,51.48,606.7,85643.6,368022.8,474712.3
2025-07-31 19:33:58,STARLINK-3756,78.54,61.13,610.8,289047.8,58599.7,534861.1
2025-07-31 19:33:58,STARLINK-32461,214.33,46.8,634.1,-244778.7,-358401.0,462244.8
2025-07-31 19:33:58,STARLINK-4060,156.34,52.62,665.4,162101.5,-370032.3,528686.9
2025-07-31 19:33:58,STARLINK-5547,32.21,55.38,669.5,202715.9,321821.5,550927.3
2025-07-31 19:33:58,STARLINK-31237,308.06,44.1,672.7,-380372.4,297824.4,468188.0
2025-07-31 19:33:58,STARLINK-3817,61.03,51.04,679.3,373639.7,206897.6,528237.6
2025-07-31 19:33:58,STARLINK-5684,157.86,53.02,685.7,155478.6,-382078.1,547776.8
2025-07-31 19:33:58,STARLINK-11371 [DTC],256.05,28.46,690.4,-589099.7,-146344.5,329035.0
2025-07-31 19:33:58,STARLINK-30085,319.13,52.45,691.7,-275794.5,318774.2,548374.8
2025-07-31 19:33:58,STARLINK-2644,281.65,49.95,697.3,-439427.4,90592.2,533784.9
2025-07-31 19:33:58,STARLINK-31865,271.82,41.64,699.7,-522678.1,16630.0,464934.8
2025-07-31 19:33:58,STARLINK-6331,211.36,50.21,709.6,-236303.6,-387771.8,545274.5
2025-07-31 19:33:58,STARLINK-11355 [DTC],290.76,27.32,716.8,-595468.5,225773.6,328961.3
2025-07-31 19:33:58,STARLINK-11620 [DTC],222.73,26.71,726.0,-440038.6,-476365.5,326328.7
2025-07-31 19:33:58,STARLINK-30847,320.24,48.05,731.9,-312949.9,376135.6,544284.6
2025-07-31 19:33:58,STARLINK-5625,41.93,47.68,735.5,330957.4,368446.2,543824.1
2025-07-31 19:33:58,STARLINK-34311,235.07,34.9,735.9,-494824.4,-345617.3,421025.2
2025-07-31 19:33:58,STARLINK-11253 [DTC],166.86,25.86,750.0,153448.9,-657248.8,327149.3
2025-07-31 19:33:58,STARLINK-30178,108.17,46.03,751.5,495770.9,-162733.0,540843.7
2025-07-31 19:33:58,STARLINK-31950,207.69,37.29,754.8,-279025.2,-531672.4,457304.6
2025-07-31 19:33:58,STARLINK-1328,218.92,44.02,757.1,-341981.3,-423555.2,526097.8
2025-07-31 19:33:58,STARLINK-31219,51.13,37.25,758.3,469923.3,378830.7,458921.5
2025-07-31 19:33:58,STARLINK-31055,41.48,35.45,773.3,417245.3,472010.1,448464.2
2025-07-31 19:33:58,STARLINK-4264,359.22,42.06,773.4,-7847.0,574217.0,518102.8
2025-07-31 19:33:58,STARLINK-2564,287.25,42.47,777.5,-547752.2,170066.6,524995.9
2025-07-31 19:33:58,STARLINK-33583,300.46,35.13,777.5,-548113.6,322301.2,447446.0
2025-07-31 19:33:58,STARLINK-30453,256.19,42.61,791.6,-565777.2,-139103.8,535910.5
2025-07-31 19:33:58,STARLINK-31906,89.03,34.79,794.7,652558.4,11061.5,453417.0
2025-07-31 19:33:58,STARLINK-34328,253.94,31.36,796.5,-653547.5,-188177.4,414516.7
2025-07-31 19:33:58,STARLINK-32574,3.87,33.14,811.7,45824.3,678122.2,443820.7
2025-07-31 19:33:58,STARLINK-1678,305.96,32.81,821.8,-559130.6,405597.1,445287.8
2025-07-31 19:33:58,STARLINK-32166,315.88,32.49,823.1,-483326.4,498416.0,442160.2
2025-07-31 19:33:58,STARLINK-1549,58.42,38.18,837.6,560926.2,344846.1,517723.3
2025-07-31 19:33:58,STARLINK-32142,122.3,31.33,842.6,608335.5,-384627.0,438096.4
2025-07-31 19:33:58,STARLINK-33720,63.55,31.88,846.8,643871.1,320279.4,447197.5
2025-07-31 19:33:58,STARLINK-31464,73.25,29.76,889.6,739487.3,222518.6,441527.2
2025-07-31 19:33:58,STARLINK-4265,134.37,33.8,898.6,533843.5,-522200.3,499845.6
2025-07-31 19:33:58,STARLINK-32408,276.25,28.55,915.2,-799090.5,87571.8,437417.6
2025-07-31 19:33:58,STARLINK-32448,243.19,27.43,939.5,-744253.2,-376061.0,432858.2
2025-07-31 19:33:58,STARLINK-11476 [DTC],89.46,18.56,947.4,898080.9,8435.2,301540.3
2025-07-31 19:33:58,STARLINK-11301 [DTC],330.84,18.42,954.8,-441427.2,790999.8,301687.7
2025-07-31 19:33:58,STARLINK-30461,94.22,32.48,956.2,804462.8,-59336.4,513474.6
2025-07-31 19:33:58,STARLINK-33726,28.26,24.21,959.1,414153.5,770507.6,393295.8
2025-07-31 19:33:58,STARLINK-11465 [DTC],339.82,17.96,970.6,-318587.7,866662.0,299255.1
2025-07-31 19:33:58,STARLINK-30421,234.62,25.14,983.3,-725773.2,-515385.7,417643.4
2025-07-31 19:33:58,STARLINK-32013,244.84,25.15,983.3,-805636.5,-378490.0,417904.8
2025-07-31 19:33:58,STARLINK-4487,263.62,29.08,999.1,-867801.2,-96996.8,485574.1
2025-07-31 19:33:58,STARLINK-5578,71.44,30.49,1000.3,817093.5,274417.8,507523.0
2025-07-31 19:33:58,STARLINK-33796,11.39,24.5,1004.7,180528.4,896215.5,416720.3
2025-07-31 19:33:58,STARLINK-11626 [DTC],70.13,16.68,1006.1,906441.7,327548.2,288718.7
2025-07-31 19:33:58,STARLINK-2537,102.08,29.26,1007.1,859168.0,-183874.3,492304.9
2025-07-31 19:33:58,STARLINK-2163,139.83,28.82,1016.2,574316.7,-680326.7,489862.2
2025-07-31 19:33:58,STARLINK-6372,265.29,29.63,1019.4,-883127.3,-72786.1,503993.7
2025-07-31 19:33:58,STARLINK-32741,289.55,24.23,1021.7,-878036.7,311714.3,419293.6
2025-07-31 19:33:58,STARLINK-32768,120.52,24.47,1023.2,802281.1,-472953.8,423782.1
2025-07-31 19:33:58,STARLINK-3341,338.91,27.5,1040.6,-332074.9,861215.2,480595.1
2025-07-31 19:33:58,STARLINK-11529 [DTC],283.12,15.6,1049.0,-983996.6,229273.4,282055.5
2025-07-31 19:33:58,STARLINK-5357,287.59,28.1,1058.0,-889609.4,282113.2,498269.1
2025-07-31 19:33:58,STARLINK-31576,56.51,22.65,1058.4,814603.8,538929.9,407618.6
2025-07-31 19:33:58,STARLINK-33754,266.73,22.56,1074.2,-990442.9,-56535.1,412042.9
2025-07-31 19:33:58,STARLINK-4122,41.72,25.71,1088.6,652760.0,732037.7,472340.4
2025-07-31 19:33:58,STARLINK-4061,179.13,24.93,1106.3,15319.7,-1003136.4,466261.1
2025-07-31 19:33:58,STARLINK-30394,202.52,25.57,1122.4,-387849.2,-935201.7,484529.5
2025-07-31 19:33:58,STARLINK-33845,281.43,20.64,1122.9,-1030016.7,208184.4,395846.1
2025-07-31 19:33:58,STARLINK-3678,226.14,24.33,1125.3,-739283.1,-710493.7,463546.9
2025-07-31 19:33:58,STARLINK-30165,161.34,25.42,1127.0,325756.9,-964359.5,483816.8
2025-07-31 19:33:58,STARLINK-3278,263.95,24.3,1127.5,-1021875.4,-108234.7,463975.3
2025-07-31 19:33:58,STARLINK-33682,33.79,18.93,1128.4,593639.0,887051.2,366036.7
2025-07-31 19:33:58,STARLINK-5986,122.62,26.27,1132.8,855538.2,-547537.3,501389.2
2025-07-31 19:33:58,STARLINK-2728,62.21,23.97,1153.2,932208.3,491388.5,468461.8
2025-07-31 19:33:58,STARLINK-2460,14.24,23.65,1165.3,262581.9,1034687.8,467439.0
2025-07-31 19:33:58,STARLINK-31518,224.64,19.14,1173.8,-779227.7,-789056.9,384856.1
2025-07-31 19:33:58,STARLINK-34082,213.84,17.54,1173.8,-623218.2,-929684.3,353830.8
2025-07-31 19:33:58,STARLINK-30502,121.08,23.44,1189.5,934733.4,-563350.9,473108.3
2025-07-31 19:33:58,STARLINK-4114,334.24,22.26,1196.9,-481324.2,997600.6,453442.7
2025-07-31 19:33:58,STARLINK-5665,71.21,22.97,1208.5,1053388.3,358302.1,471682.5
2025-07-31 19:33:58,STARLINK-32409,103.0,16.76,1211.1,1129882.3,-260934.4,349199.2
2025-07-31 19:33:58,STARLINK-32420,88.8,18.37,1222.8,1160225.7,24268.3,385319.5
2025-07-31 19:33:58,STARLINK-32415,73.82,18.25,1231.0,1122747.0,325809.3,385545.4
2025-07-31 19:33:58,STARLINK-32785,290.55,18.04,1238.3,-1102535.0,413337.1,383438.7
2025-07-31 19:33:58,STARLINK-3705,294.3,20.83,1246.1,-1061458.5,479186.2,443201.7
2025-07-31 19:33:58,STARLINK-6139,85.29,21.67,1252.8,1160320.5,95597.4,462626.4
2025-07-31 19:33:58,STARLINK-3890,258.04,20.54,1254.6,-1149280.2,-243376.7,440258.8
2025-07-31 19:33:58,STARLINK-11234 [DTC],245.14,11.27,1259.9,-1121038.2,-519515.4,246289.5
2025-07-31 19:33:58,STARLINK-30854,288.54,21.25,1269.2,-1121533.8,376078.3,459943.9
2025-07-31 19:33:58,STARLINK-31177,280.02,16.85,1288.0,-1213846.1,214525.4,373393.5
2025-07-31 19:33:58,STARLINK-34178,203.77,14.84,1292.4,-503490.2,-1143386.3,330917.5
2025-07-31 19:33:58,STARLINK-30594,80.69,16.26,1296.2,1227920.8,201328.5,362974.7
2025-07-31 19:33:58,STARLINK-34039,356.47,21.36,1299.6,-74562.3,1208042.3,473279.2
2025-07-31 19:33:58,STARLINK-4087,4.61,19.23,1310.4,99508.5,1233298.6,431601.9
2025-07-31 19:33:58,STARLINK-32006,354.26,16.03,1310.6,-126065.6,1253308.9,361879.6
2025-07-31 19:33:58,STARLINK-32492,258.98,16.47,1311.0,-1234082.4,-240295.9,371590.9
2025-07-31 19:33:58,STARLINK-32600,52.2,20.82,1318.2,973570.8,755275.4,468451.4
2025-07-31 19:33:58,STARLINK-31633,246.1,15.94,1324.9,-1164673.7,-516218.1,363872.1
2025-07-31 19:33:58,STARLINK-3740,50.79,18.58,1335.8,981109.9,800447.7,425585.3
2025-07-31 19:33:58,STARLINK-32783,229.65,15.61,1341.0,-984227.2,-836209.5,360864.8
2025-07-31 19:33:58,STARLINK-4500,24.83,18.36,1346.0,536386.7,1159426.8,424054.6
2025-07-31 19:33:58,STARLINK-34518,323.55,13.74,1355.6,-782345.9,1059181.9,322090.1
2025-07-31 19:33:58,STARLINK-30606,189.51,14.75,1361.5,-217507.4,-1298561.7,346577.3
2025-07-31 19:33:58,STARLINK-6201,238.49,19.53,1363.6,-1095624.6,-671778.7,455867.8
2025-07-31 19:33:58,STARLINK-34034,359.0,19.63,1367.2,-22576.1,1287543.4,459209.3
2025-07-31 19:33:58,STARLINK-31677,233.67,14.93,1371.0,-1067236.9,-784746.1,353248.5
2025-07-31 19:33:58,STARLINK-5568,254.06,18.33,1382.5,-1261842.8,-360489.5,434763.0
2025-07-31 19:33:58,STARLINK-32769,80.94,14.84,1384.1,1321263.4,210645.5,354580.1
2025-07-31 19:33:58,STARLINK-31825,45.91,14.37,1389.3,966569.0,936482.7,344770.1
2025-07-31 19:33:58,STARLINK-3698,148.15,16.92,1401.7,707669.5,-1139064.3,407938.9
2025-07-31 19:33:58,STARLINK-1728,331.68,17.35,1405.8,-636481.5,1181313.9,419103.6
2025-07-31 19:33:58,STARLINK-1714,349.64,16.01,1407.3,-243359.1,1330637.5,388154.2
2025-07-31 19:33:58,STARLINK-33742,112.73,12.6,1409.5,1268700.5,-531588.2,307432.0
2025-07-31 19:33:58,STARLINK-5748,193.1,17.55,1412.7,-305239.2,-1311923.4,425940.0
2025-07-31 19:33:58,STARLINK-31605,70.58,14.24,1412.8,1291466.2,455212.9,347599.7
2025-07-31 19:33:58,STARLINK-34315,347.27,12.66,1414.0,-304115.4,1345715.1,309891.6
2025-07-31 19:33:58,STARLINK-34565,300.23,12.53,1418.6,-1196464.1,697318.0,307660.9
2025-07-31 19:33:58,STARLINK-32164,311.6,13.73,1422.0,-1033032.0,917131.2,337542.1
2025-07-31 19:33:58,STARLINK-32211,123.25,13.58,1423.5,1157199.7,-758668.2,334237.8
2025-07-31 19:33:58,STARLINK-32078,57.01,13.67,1424.8,1161290.2,753787.8,336694.7
2025-07-31 19:33:58,STARLINK-34264,338.22,12.44,1425.9,-516646.2,1293003.3,307191.2
2025-07-31 19:33:58,STARLINK-3078,156.44,17.9,1431.1,544398.9,-1248330.8,439843.8
2025-07-31 19:33:58,STARLINK-1333,125.08,16.6,1433.5,1124170.7,-789598.9,409510.7
2025-07-31 19:33:58,STARLINK-34490,313.86,12.09,1444.8,-1018619.0,978878.1,302520.2
2025-07-31 19:33:58,STARLINK-2642,219.17,16.23,1449.3,-878923.7,-1078813.0,405163.8
2025-07-31 19:33:58,STARLINK-30549,347.47,13.17,1453.8,-307001.3,1381933.9,331188.6
2025-07-31 19:33:58,STARLINK-4151,164.05,15.59,1464.0,387579.0,-1355816.5,393489.8
2025-07-31 19:33:58,STARLINK-1060,160.66,15.8,1470.0,468392.4,-1334594.7,400287.3
2025-07-31 19:33:58,STARLINK-3957,2.07,15.49,1479.0,51391.9,1424385.1,395031.1
2025-07-31 19:33:58,STARLINK-4558,75.24,15.39,1480.7,1380459.7,363801.3,392871.0
2025-07-31 19:33:58,STARLINK-32694,205.7,12.76,1494.1,-631929.3,-1313097.2,329943.2
2025-07-31 19:33:58,STARLINK-4107,241.72,14.9,1501.8,-1278051.3,-687632.9,386033.0
2025-07-31 19:33:58,STARLINK-6324,133.26,15.26,1524.4,1070961.6,-1007931.4,401102.4
2025-07-31 19:33:58,STARLINK-2646,26.7,14.87,1525.8,662483.3,1317462.6,391667.3
2025-07-31 19:33:58,STARLINK-3797,108.15,14.44,1526.1,1404298.8,-460404.4,380579.2
2025-07-31 19:33:58,STARLINK-34231,11.3,11.88,1526.4,292569.1,1464796.2,314268.6
2025-07-31 19:33:58,STARLINK-33636,316.16,10.53,1535.3,-1045511.4,1088731.8,280553.4
2025-07-31 19:33:58,STARLINK-3826,196.86,14.1,1541.0,-433585.2,-1430310.5,375277.0
2025-07-31 19:33:58,STARLINK-34253,293.54,10.25,1552.7,-1400715.8,610314.4,276364.6
2025-07-31 19:33:58,STARLINK-4475,206.02,13.85,1554.1,-661961.9,-1355973.9,372157.8
2025-07-31 19:33:58,STARLINK-32718,91.14,11.74,1554.5,1521632.5,-30328.4,316406.5
2025-07-31 19:33:58,STARLINK-1560,5.19,14.27,1558.7,136548.1,1504357.8,384302.3
2025-07-31 19:33:58,STARLINK-30487,230.39,14.53,1561.9,-1164906.7,-963908.2,391865.6
2025-07-31 19:33:58,STARLINK-5130,84.46,13.7,1568.1,1516371.7,147115.8,371482.5
2025-07-31 19:33:58,STARLINK-5751,95.94,14.41,1572.3,1514664.3,-157727.3,391210.4
2025-07-31 19:33:58,STARLINK-33697,70.92,11.33,1574.1,1458672.0,504451.4,309344.7
2025-07-31 19:33:58,STARLINK-1278,26.66,13.61,1594.5,695318.3,1384991.8,375074.8
2025-07-31 19:33:58,STARLINK-4074,351.53,13.32,1594.6,-228556.4,1534798.0,367423.8
2025-07-31 19:33:58,STARLINK-3314,39.85,13.29,1594.9,994660.1,1191573.1,366718.1
2025-07-31 19:33:58,STARLINK-1281,285.39,13.46,1599.4,-1499655.5,412807.7,372369.2
2025-07-31 19:33:58,STARLINK-3233,331.69,13.18,1601.8,-739559.6,1373086.9,365222.7
2025-07-31 19:33:58,STARLINK-31835,240.55,10.45,1604.3,-1373855.8,-775583.3,290966.6
2025-07-31 19:33:58,STARLINK-32509,267.72,10.8,1604.9,-1575233.2,-62580.0,300684.1
2025-07-31 19:33:58,STARLINK-30477,72.1,13.55,1621.9,1500426.7,484743.4,380028.8
2025-07-31 19:33:58,STARLINK-32438,12.79,10.23,1628.7,354721.4,1563085.7,289164.9
2025-07-31 19:33:58,STARLINK-5600,264.65,13.22,1638.6,-1588206.0,-148803.8,374764.8
2025-07-31 19:33:58,STARLINK-4490,330.58,12.54,1639.1,-785799.0,1393679.7,355973.1
2025-07-31 19:33:58,STARLINK-32610,191.54,10.14,1639.5,-322748.9,-1581285.8,288618.2
2025-07-31 19:33:58,STARLINK-34188,345.72,10.03,1641.4,-398672.6,1566389.5,285999.7
2025-07-31 19:33:58,STARLINK-32559,225.76,10.14,1642.6,-1158457.5,-1128119.8,289134.1
2025-07-31 19:33:58,STARLINK-3328,253.51,12.35,1644.0,-1539948.5,-455806.2,351494.4
2025-07-31 19:33:58,STARLINK-32427,288.5,10.21,1646.4,-1536558.7,514038.3,291942.6
2025-07-31 19:33:58,STARLINK-4299,20.85,12.36,1649.7,573648.7,1505917.6,353188.2
2025-07-31 19:33:58,STARLINK-1267,13.71,12.59,1653.7,382527.8,1567961.5,360388.7
2025-07-31 19:33:58,STARLINK-5127,183.95,12.07,1655.7,-111578.8,-1615243.6,346149.2
2025-07-31 19:33:58,STARLINK-3195,11.05,12.15,1662.7,311576.5,1595245.8,350047.8
2025-07-31 19:33:58,STARLINK-2224,345.79,12.28,1672.2,-401028.3,1583961.3,355620.5
2025-07-31 19:33:58,STARLINK-2615,335.21,12.25,1673.5,-685668.9,1484697.9,355046.2
2025-07-31 19:33:58,STARLINK-5906,282.24,13.25,1674.9,-1593294.8,345548.5,383943.8
2025-07-31 19:33:58,STARLINK-2538,315.87,12.19,1675.9,-1140675.9,1175750.7,353905.2
2025-07-31 19:33:58,STARLINK-30080,287.44,12.57,1678.2,-1562751.1,490890.4,365133.6
2025-07-31 19:33:58,STARLINK-4277,307.19,11.67,1689.9,-1318439.6,1000292.0,341843.1
2025-07-31 19:33:58,STARLINK-4530,343.42,11.65,1693.7,-473397.8,1589800.1,341930.6
2025-07-31 19:33:58,STARLINK-5721,133.99,12.15,1696.6,1193217.5,-1151951.5,357132.7
2025-07-31 19:33:58,STARLINK-3972,311.33,11.48,1702.7,-1253053.6,1101902.2,338772.7
2025-07-31 19:33:58,STARLINK-2648,67.16,11.15,1738.6,1572114.4,662012.8,336141.2
2025-07-31 19:33:58,STARLINK-5649,72.25,11.39,1751.7,1635456.0,523589.9,345963.2
2025-07-31 19:33:58,STARLINK-3802,95.4,10.57,1755.7,1718223.9,-162564.7,322051.4
2025-07-31 19:33:58,STARLINK-6309,203.82,10.87,1776.1,-704319.1,-1595700.6,334947.4
2025-07-31 19:33:58,STARLINK-30888,158.42,10.75,1783.2,644360.1,-1629087.5,332545.5
2025-07-31 19:33:58,STARLINK-3770,28.91,10.09,1794.4,854022.2,1546543.2,314305.2
2025-07-31 19:33:58,STARLINK-34012,235.53,11.11,1799.9,-1456071.2,-999620.8,346734.2
2025-07-31 19:33:58,STARLINK-6141,287.63,10.61,1802.7,-1688639.6,536756.2,331853.9
2025-07-31 19:33:58,STARLINK-31176,224.94,10.03,1832.3,-1274470.8,-1277155.2,319082.8
2025-07-31 19:33:58,STARLINK-5985,343.89,10.02,1885.6,-515239.7,1783884.2,328235.5
2025-07-31 19:34:58,STARLINK-11371 [DTC],265.76,64.29,393.5,-170255.3,-12625.6,354541.3
2025-07-31 19:34:58,STARLINK-11355 [DTC],330.76,47.03,480.1,-159825.2,285512.9,351294.8
2025-07-31 19:34:58,STARLINK-32461,128.1,77.44,487.3,83398.3,-65402.2,475674.7
2025-07-31 19:34:58,STARLINK-31865,218.92,68.41,518.3,-119795.1,-148350.3,481906.8
2025-07-31 19:34:58,STARLINK-32166,327.26,60.82,540.5,-142511.6,221614.4,471885.5
2025-07-31 19:34:58,STARLINK-31413,43.83,55.88,576.9,224078.2,233428.8,477619.1
2025-07-31 19:34:58,STARLINK-30453,267.29,74.58,579.8,-154034.0,-7281.8,558955.0
2025-07-31 19:34:58,STARLINK-31237,8.82,54.06,588.6,52996.6,341383.9,476604.7
2025-07-31 19:34:58,STARLINK-31950,161.7,52.71,596.4,113428.6,-343068.9,474470.4
2025-07-31 19:34:58,STARLINK-30215,110.8,67.79,601.6,212612.9,-80759.4,556928.3
2025-07-31 19:34:58,STARLINK-2564,240.73,64.34,602.8,-227676.7,-127633.2,543374.2
2025-07-31 19:34:58,STARLINK-32448,236.79,49.39,621.8,-338664.1,-221667.8,472082.0
2025-07-31 19:34:58,STARLINK-30085,31.55,62.56,625.5,150825.9,245665.7,555076.9
2025-07-31 19:34:58,STARLINK-32408,294.95,48.92,626.8,-373461.0,173725.4,472445.3
2025-07-31 19:34:58,STARLINK-11301 [DTC],351.94,31.93,643.3,-76568.5,540604.5,340232.4
2025-07-31 19:34:58,STARLINK-30999,116.12,45.7,644.7,404323.3,-198263.8,461401.4
2025-07-31 19:34:58,STARLINK-30421,239.2,45.37,647.8,-390918.2,-232998.9,461038.4
2025-07-31 19:34:58,STARLINK-2644,346.08,56.3,648.3,-86572.3,349176.6,539386.0
2025-07-31 19:34:58,STARLINK-32953,83.9,45.9,654.9,453138.1,48414.9,470286.0
2025-07-31 19:34:58,STARLINK-11441 [DTC],51.21,30.17,665.6,448564.9,360491.2,334507.6
2025-07-31 19:34:58,STARLINK-11529 [DTC],276.99,29.83,669.4,-576378.8,70660.7,332903.4
2025-07-31 19:34:58,STARLINK-30847,18.04,54.93,673.0,119776.9,367693.4,550761.4
2025-07-31 19:34:58,STARLINK-32741,291.94,42.94,681.9,-463043.9,186542.6,464465.2
2025-07-31 19:34:58,STARLINK-4060,97.51,47.67,709.5,473681.2,-62410.5,524479.5
2025-07-31 19:34:58,STARLINK-4264,47.23,47.48,712.1,353248.8,326804.8,524816.0
2025-07-31 19:34:58,STARLINK-33639,54.4,39.56,725.4,454684.4,325518.4,462023.7
2025-07-31 19:34:58,STARLINK-33754,274.83,38.82,734.5,-570265.6,48138.5,460428.3
2025-07-31 19:34:58,STARLINK-5357,287.04,47.2,739.9,-480643.8,147356.5,542824.4
2025-07-31 19:34:58,STARLINK-33583,342.33,37.47,742.9,-178969.2,561800.1,451996.1
2025-07-31 19:34:58,STARLINK-34328,214.6,34.12,748.4,-351848.0,-509992.9,419767.9
2025-07-31 19:34:58,STARLINK-11620 [DTC],184.79,24.68,768.5,-58250.3,-695868.5,320861.2
2025-07-31 19:34:58,STARLINK-5909,33.02,45.45,780.7,298420.1,459207.1,556394.8
2025-07-31 19:34:58,STARLINK-6372,241.56,43.41,781.7,-499351.8,-270417.3,537163.8
2025-07-31 19:34:58,STARLINK-33646,54.59,35.47,784.7,520839.4,370230.8,455345.8
2025-07-31 19:34:58,STARLINK-5684,109.26,42.99,786.8,543246.7,-189789.6,536514.5
2025-07-31 19:34:58,STARLINK-1678,343.82,34.09,800.1,-184655.0,636376.8,448443.9
2025-07-31 19:34:58,STARLINK-6331,165.71,41.47,805.6,149014.3,-584943.1,533454.5
2025-07-31 19:34:58,STARLINK-31518,222.35,33.29,806.2,-453965.1,-498068.3,442462.2
2025-07-31 19:34:58,STARLINK-34311,196.11,30.68,807.2,-192608.8,-666930.1,411836.6
2025-07-31 19:34:58,STARLINK-3756,108.56,37.33,838.5,632114.4,-212192.5,508498.3
2025-07-31 19:34:58,STARLINK-3278,282.09,36.71,849.1,-665607.8,142550.8,507543.5
2025-07-31 19:34:58,STARLINK-30607,59.14,31.06,850.1,625100.8,373562.2,438668.4
2025-07-31 19:34:58,STARLINK-11234 [DTC],252.2,20.96,871.4,-774815.1,-248769.0,311681.9
2025-07-31 19:34:58,STARLINK-32785,294.2,30.61,871.7,-684272.3,307527.9,443876.8
2025-07-31 19:34:58,STARLINK-4487,233.72,35.24,872.7,-574582.9,-421716.8,503537.2
2025-07-31 19:34:58,STARLINK-1328,182.98,34.47,896.6,-38392.4,-738174.9,507431.0
2025-07-31 19:34:58,STARLINK-33845,303.7,28.7,899.1,-656134.2,437508.6,431736.2
2025-07-31 19:34:58,STARLINK-4061,155.52,33.73,899.4,309912.8,-680768.0,499391.6
2025-07-31 19:34:58,STARLINK-5547,58.59,35.27,904.2,630013.6,384765.4,522104.8
2025-07-31 19:34:58,STARLINK-3705,282.97,32.81,919.4,-753008.5,173394.4,498121.0
2025-07-31 19:34:58,STARLINK-31055,73.36,27.48,926.7,787674.8,235364.6,427617.0
2025-07-31 19:34:58,STARLINK-31177,288.49,27.72,935.3,-785241.5,262559.9,434973.3
2025-07-31 19:34:58,STARLINK-32492,261.78,27.81,938.1,-821162.6,-118692.1,437702.7
2025-07-31 19:34:58,STARLINK-30854,298.59,33.23,942.7,-692385.1,377371.2,516560.6
2025-07-31 19:34:58,STARLINK-32013,216.05,25.44,974.6,-517892.4,-711621.3,418623.2
2025-07-31 19:34:58,STARLINK-32783,222.44,25.83,980.1,-595340.3,-651101.0,426997.3
2025-07-31 19:34:58,STARLINK-5625,64.7,31.17,985.6,762427.7,360366.8,510076.8
2025-07-31 19:34:58,STARLINK-3817,54.84,29.65,987.4,701619.0,494140.8,488466.7
2025-07-31 19:34:58,STARLINK-5568,255.15,29.63,1018.5,-855781.8,-226846.9,503563.5
2025-07-31 19:34:58,STARLINK-32164,312.9,23.47,1034.0,-694759.3,645717.2,411771.3
2025-07-31 19:34:58,STARLINK-2163,112.09,27.6,1047.6,860250.7,-349117.3,485383.6
2025-07-31 19:34:58,STARLINK-1549,83.46,27.52,1051.1,926107.2,106089.8,485696.8
2025-07-31 19:34:58,STARLINK-30606,175.51,22.45,1059.4,76653.3,-976146.2,404525.6
2025-07-31 19:34:58,STARLINK-30178,108.51,27.45,1073.0,903020.3,-302254.2,494566.1
2025-07-31 19:34:58,STARLINK-31219,65.18,22.6,1075.8,901471.5,416905.3,413350.0
2025-07-31 19:34:58,STARLINK-2642,215.67,26.38,1078.4,-563367.8,-784737.3,479216.0
2025-07-31 19:34:58,STARLINK-32574,24.51,21.95,1081.3,416108.1,912476.7,404238.8
2025-07-31 19:34:58,STARLINK-11465 [DTC],4.34,14.69,1099.3,80557.1,1060342.8,278748.0
2025-07-31 19:34:58,STARLINK-30165,136.52,26.13,1107.6,684276.2,-721482.8,487749.4
2025-07-31 19:34:58,STARLINK-11253 [DTC],154.19,14.33,1108.6,467730.5,-966904.3,274352.5
2025-07-31 19:34:58,STARLINK-4107,246.08,24.21,1129.8,-941955.5,-417717.9,463254.9
2025-07-31 19:34:58,STARLINK-31906,80.14,20.65,1138.7,1049753.0,182470.6,401649.0
2025-07-31 19:34:58,STARLINK-33636,320.26,18.45,1144.6,-694151.8,834964.4,362209.3
2025-07-31 19:34:58,STARLINK-3890,236.28,23.62,1147.4,-874352.0,-583658.1,459826.8
2025-07-31 19:34:58,STARLINK-3341,3.19,23.55,1154.7,58949.9,1056933.3,461285.1
2025-07-31 19:34:58,STARLINK-3078,140.7,24.75,1177.0,676948.8,-827194.3,492765.0
2025-07-31 19:34:58,STARLINK-5748,177.07,23.74,1177.7,55159.1,-1076592.4,474182.2
2025-07-31 19:34:58,STARLINK-31633,226.48,19.22,1186.4,-812356.8,-771378.9,390596.7
2025-07-31 19:34:58,STARLINK-32694,193.67,19.44,1187.5,-264694.7,-1088135.2,395185.6
2025-07-31 19:34:58,STARLINK-32006,14.5,18.88,1190.3,281954.4,1090442.6,385178.6
2025-07-31 19:34:58,STARLINK-30487,225.14,23.12,1199.2,-781826.4,-777945.9,470795.5
